text,airline_sentiment
@JetBlue I shouldn't be made to feel like a criminal because I want to sit near my 5 year old on a flight. #jetblue http://t.co/qgtCao1J2U,negative
"@AmericanAir If it's in my backpack, why do I need to see agent?",negative
"@united, no. Re-booked with American and United said they'd transfer our bags to them.",negative
"@SouthwestAir Thanks, you guys are the best",positive
@united no way one person is working entire security checkpoint in EWR 🆖,negative
"Hey @united, this is your job, don't give me the safety spin. This is the same plane that broke on the original flight out. #unitedSucks",negative
@USAirways link didn't work via Mobil.,negative
"@united Is your company motto: ""I do not care!!!""  I heard several times from your employees to your clients in the past week.""  #idonotcare",negative
@AmericanAir needs an entire customer service overhaul @Delta would never treat its customers with anything less that A1 service,negative
"@united @TiffanyAndCo @NTrustOpen ah, so that's where the funds to fix the broken plane upon which I sat for 4 hrs on IAH runway went.",negative
"@united my flight was already Cancelled Flightled this morning because of a ""snow storm in Denver"". And now I'm in DC waiting for a pilot to get on+",negative
@USAirways ok thank you we were told ground delay due to snow.,positive
"@united Also, your phone customer service is almost useless. http://t.co/Mb3bJwGOAp",negative
@united how's my refund coming along??,negative
Lmfaooo “@JetBlue: Our fleet's on fleek. http://t.co/1G9RnmYUQe”,positive
"@united Flew ORD to Miami and back and  had great crew, service on both legs. THANKS",positive
@united they have access to the dial that makes it faster do they?,negative
@USAirways there is a travel advis for nyc and phil PA  -winter weather- but U.S. Air hasn't posted one yet. Can I still change flt wo pen?,negative
@SouthwestAir Gary Kelly should be ashamed of himself running a corporation in this way,negative
@SouthwestAir Paid for in flight wifi from Austin to San Diego - wasn't useable. :/ Possible to get a refund? Conf #8X7XVM,negative
". @united 5 hours, 3 gates, and 3 planes Late Flightr still not an update, explanation, or apology to be had. #WorstAirlineEver #UnitedAirlines",negative
@united I understand ppl make mistakes but don't code something in a way that we can't get reimbursed when it's YOUR fault. Just blatant LIE,negative
@AmericanAir @lpalumbo what weather sun is out,negative
@AmericanAir today's wait was a violation of #dot #passengerbillofrights http://t.co/GxvFumn3iZ,negative
"@united Now submitted for the third time, please check and confirm receipt. Have taken screen shots in case it disappears again. Thanks",negative
@USAirways is the worst!! Still haven't left.. Everyone missing connections.,negative
"@JetBlue I would prefer a similar picture but full of E190 tails, but great shot!",positive
"@SouthwestAir thanks for the b day concert I watched them all (and noticed the fist bump/high five at the end of the ""rock"" version)",positive
@USAirways spoke with your reps in NH and PA. Very poor communications. Bags still sitting in Philly. TRAIN YOUR STAFF,negative
.@AmericanAir Advised GAs and pilot of my flight. Too bad no one took action.,negative
"@AmericanAir Also, been on hold for 30 minutes with your ""customer service"" to find out when my new flight is scheduled bc your site SUCKS",negative
@AmericanAir worst company ever please do not fly with them I repeat please do not fly !! They will not credit you if you're delayed,negative
@USAirways your airline also delayed our bags to us for 4 hours &amp; refused to ship them to our local airport #disappointed #stillbagless,negative
@USAirways — I had exceptional service on flight #403 from IND to PHX!!,positive
"@USAirways They provided no options. Since you all have a better sense of the weather, I hoped you could suggest.",negative
@SouthwestAir they were moved to the 210pm flight #4649. Main concern now is luggage arriving with them. They were told that SW was having,negative
"@SouthwestAir allows you to change a flight once for no fee, yay! I will always book flights with them. @AmericanAir changes you $200",positive
@united the Premier desk was able to rebook me with our friends at @AmericanAir. Only problem is now I have to pay for a checked bag :/,negative
@AmericanAir Cancelled Flightled 2 of my flights for maintenance. Customer service desk is empty... Can I get a hotel at least? http://t.co/ypbkCiRBXu,negative
@SouthwestAir has the smoooothest flight attendants. #SouthwestSmoothie http://t.co/Vr9k180LaI,positive
@SouthwestAir My son's flight was Cancelled Flightled today. I was on hold 2+ hours to no avail. Can you help me rebook?,negative
@USAirways that website does not give correct info said my bag was in Miami was in key west the entire time..I got the run around for 2 days,negative
@AmericanAir stranded in Miami because your automated system keeps hanging up on me for two days. Help !,negative
"@JetBlue before departure, while people who are delayed get up to $200 to compensate their time..",negative
@JetBlue your agents at IAD have compounded this problem by not making any announcements #jetbluemess,negative
@USAirways 1917. Thanks for the 5 hour layover in LA too👍 Icing on the cake. At least your staff was courteous and helpful.. Not #unreal,positive
@united ROC flight Cancelled Flightled. Love my snowy drive home with no useful substitutes,negative
@SouthwestAir suggestion- shades on the windows @KCIAirport so travelers won't have to watch ur luggage handlers throwing their bags around,negative
@SouthwestAir rules.,positive
@united 1k use to be special.  80 people in group one.   Why not board global AND 1k together? http://t.co/qd2lyUXAZg,negative
@SouthwestAir I'll stick with flying for free any where that Southwest goes; my son works for this wonderful company and Moms fly free.,positive
"@united it's frustrating, as a frequent flyer, loyal since Continental. Upgrade equals paying 3 times or more on top of purchase ticket.",negative
"@JetBlue well, your new baggage fees, fare structures and reduced legroom has turned you into every other hated carrier in the US. Congrats",negative
@SouthwestAir @jlittle100 Double up with this comment. PHL to anywhere South Florida is GONE GONE GONE. Hello US Air,negative
@united why do you guys split up the charges to credit cards? Making it unnecessarily more expensive for people to fly with you guys on pts,negative
@USAirways There is an error w/ my preferred status &amp; I'm not able to reach an agent via phone. Travel Friday. Need resolved - contact info?,negative
@USAirways Thanks guys! Got hold of someone. Really awesome service I appreciate it :),positive
@JetBlue 4 hr delay on flight to JFK via Tampa &amp; worst customer service in San Juan airport. This after app not working all day.,negative
@united 's new #flierfriendly is garbage. Just had to cry to get attendant to find a place for my medical supplies with limited overhead,negative
@united Male agnt in LAS threatens Canadian cust when cust takes pic of him at gate after agents announce can't help rebook. #friendlyskies?,negative
@United. What's going on with UA 236?  outbound flight last thurs was delayed 4hrs How long will this delay be? #worst2unitedflightsever,negative
@JetBlue is gettin fancy! #Mint #LieFlat Nice work on the menu @Saxonandparole #LobsterMac #BloodyMary #JetSetter http://t.co/zf5wjgtXzT,positive
@AmericanAir the pilot her and another flight attendant left walking away laughing.  Just wow,negative
@SouthwestAir link doesn't work,negative
"@USAirways - is stranding your customers, not reFlight Booking Problems them, and then not answering the phone the way you treat Platinum members?",negative
@united. Thanks United for the no running water and Late Flight flight from Grand Rapids to Denver,negative
"@USAirways getting sorted, thanks",positive
@united really?  Someone called in sick and then someone FORGOT to call a replacement?!  Now an hour Late Flight to take off. #theworst,negative
"@southwestair excruciatingly slow internet on SWA flights is now the norm, rather than the exception. Is this being addressed?",negative
@VirginAmerica husband and I ordered three drinks via my screen and they never came. Awesome!,negative
@JetBlue by far the worst airline in terms of service at jfk.,negative
@USAirways you have the ability to switch my flight to @AmericanAir but you cannot tell me where my bags are.,negative
"@USAirways trying to check in online for a flight tomorrow.  Tried computer, tablet, and phone.  got error message on all devices?",negative
@SouthwestAir been on hold  for 2 1/2 hrs. Can't get 2 airport 4 flight icy country backroads! Help pls? Can a human answer? #BNA,negative
@united quality work going on here. http://t.co/9xbO5daKaK,negative
"@united  oh united, how much I despise thee!",negative
@AmericanAir an hour at baggage carousel and still no luggage?? Nail in the coffin.,negative
@AmericanAir ticks me off.,negative
@USAirways i did and i'm not stupid. i've done web development for 19 yrs. the issue (now confirmed by your support) is YOUR website.,negative
"Thank you United! “@united: @dan_roam That's a beautiful place to stay a day longer. Have you been re-booked? If not, let me know. ^MN”",positive
@united not my luggage,negative
@USAirways @husainhaqqani Mr. Husain u shld protest as well when one of ur party member Rehman Malik delayed a PIA flight for hours..???,negative
@United landed in den on time stuck waiting for gate for 30 min. Maybe an update would be a good idea capt?,negative
@AmericanAir good care of their customers if anything happen to then take you @Delta  for getting me back to NYC !! Screw you @AmericanAir,negative
"@SouthwestAir up at 4AM and arrive to find it already Cancelled Flighted. No options so miss my meeting. You might ""know"" but don't show it.",negative
"@SouthwestAir I thank you for the reply but too complicated to DM, really would like to talk to a cust rep. What is going on there?",negative
@AmericanAir I've been doing this all night. Can someone please help? I need my flt fixed. Please???,negative
"@USAirways had baggage lost last night, no call from us airways and no bags and nobody answering phone #badcustomersrvice #whereismybag",negative
@united any chance you can troubleshoot check ins at @FlyYOW ? We're at 20 minutes per person.,negative
@JetBlue we now have to get off of the plane and wait another 1-2 hours for someone at the @BuffaloAirport to read the temp. #tired,negative
"@USAirways - the worst! Hold time crazy, agents horrible, no accountability! #USAIRsucks",negative
"@SouthwestAir @matthewebel And this is why I love flying Southwest. Excellent service, and you don't take yourselves too seriously!",positive
@united go bankrupt again and transfer all of your assets to $LUV. That would be great.,negative
"@USAirways @AmericanAir did I mention I'm a silver preferred member and fly every week (not always with you), and not even a meal voucher?",negative
@United had a maintenance issue. Stuck in Geneva with meal voucher that won't even cover a pLate Flight of spaghetti. Really.,negative
@united 3359 which you finally Cancelled Flightled.,negative
@JetBlue I want to give a warm thanks to your crew at Logan airport for still getting me to the DC area after Cancelled Flightlations this morning!,positive
"@USAirways but wait! They are booked, along with all other hotels nearby. I was sent anyway, to the hotel managers disbelief.",negative
"@united is unfriendly screw family, that hates kids and moms. now waiting on  UA871... pray its better FYVRFN ..due to agent error and tickt",negative
@united we just almost had a major accident on ua3710 ... How about passing on some information to those of us waiting on plane!!!,negative
@USAirways it's not often that an airline is so easy to work with. I needed to change my flight time and the attendants at MKE made my day!,positive
"@USAirways Why were we loaded onto the plane (4 hours Late Flight, mind you), made to sit for 40 minutes",negative
@JetBlue Flight 1533 JFK to Cartagena all at this airport bar singing the opposite of your praises! We're making a pact to never fly u again,negative
@USAirways providing poor customer service by responding to complaints with a copy and paste tempLate Flight unreLate Flightd to complaint #usairwaysfail,negative
@united Well I can tell you that your customer service at RDU airport is horrific but is exception at O'Hare in Chicago.,negative
@AmericanAir yet there are plenty of available AA agents at gates nearby who say they are unable to help customers from our flight.,negative
@usairways would it kill you to let me put my tsaprecheck number on my reservation?,negative
@SouthwestAir @bgr1061 luv SWA myself and my employees use you always!!,positive
@united the lack of customer service is astounding https://t.co/72RMpkOGwu #2daysofhell,negative
"@united in other words... sorry, not sorry.  Plenty of other airlines... and I travel A LOT.",negative
@AmericanAir worst airline! You Cancelled Flight our flight and don't even let us know even though we are traveling with children.,negative
@united reservation was made last July. I want to know why I wasn't reseated. This only happens on international itineraries,negative
@JetBlue my wife sent me a family invite but I never accepted it. She should not be locked into a family account that never got created.,negative
@AmericanAir you have Cancelled Flightled my flights because of my last name. Do the right thing and reinstate my tickets,negative
@united Why does it take 4-6 weeks for a new MileagePlus Premier card to be sent out? #stillwaiting #doesntfeellikestatusyet,negative
"@united she has crossed 4 prior times with other carriers and no issue. Karen was rude, untrained and unhelpful I also spoke",negative
"@united made to check in my carry on from Flight 1449 PBI to Newark. Plane luggage stow not full. U r costing me time, money &amp; aggravation!",negative
@united lost my bags and there was a flight from Chi to Eri that landed over 1.5 hrs ago...yet still have zero updates?? #UnitedAirlinesSux,negative
@united How do I formally complain about your customer service handler who misconnected me. I was denied boarding &amp; I now lost my bag. Help!,negative
@united thank you for flying me out of the mess at IAD and out to San Diego. http://t.co/tlPBaupIk5,positive
"@united I mean, your employees were really nice as I literally sobbed?",negative
@USAirways I've flown US Airways at least five times. Every single time has been like this. Actions speak louder than words.,negative
@AmericanAir we knew it was not going to leave but we had 6 hours waiting... that was the hurry..,negative
@AmericanAir for our delays !!! I'm out of more money because of you,negative
@SouthwestAir nice work on the update!,positive
@united ok thanks. I sent you a DM too. You can disregard that.,positive
@SouthwestAir wifi is so slow! What is the point having one if can't get on the Internet?! Ugh...,negative
"@united airlines claims to have a low fare guarantee, but they won't honor a lower fare that I found.",negative
@JetBlue Thank you for the free flyfi!! Makes an already great airline even better! #jetblue #Boston #westpalmbeach #flybetter,positive
@USAirways still can't get a real person on the phone to book a flight. Ready to just go with #jetblue since they care. #usairwayssucks,negative
"@united Call customer service and of course they just say ""theres nothing we can do"" and then offer a transfer and disconnect the line.",negative
"@VirginAmerica, I submitted a status match request a while back and still haven’t heard! I’m flying on Monday. Can you look / accelerate?",negative
"@SouthwestAir Love, love, love this. Southwest Rocks!! Always!! https://t.co/q8VSfFRd1u",positive
"@USAirways Almost 4 hours and coin now. Understand higher call volume, but this is unacceptable.",negative
"@united has me #stranded (weather NOT to blame). 1hr+ hold to speak to an agent that doesn't understand the concept of time zones, thanks!",negative
@united the wifi in the ewr lounge reminds me of the old days of dial up,negative
@usairways is there not a faster way to get me to Columbia Sc than making me stay in CLT over night after my delayed flight?,negative
@united sitting on UAL 683 - a comedy of errors.  UAL is incompetent,negative
@SouthwestAir this would be an awesome experience #DestinationDragons,positive
Hey @AmericanAir why automated call me and then hang up at 4:45 am!?! And why can't I reschedule Cancelled Flighted flights via web!?! Come on!!!,negative
@AmericanAir I filled out that whole form before receiving a poor poor response. Is there no direct email address in reply?,negative
"@jetblue as courtesy to Mosaic members or anyone, a request for water should be attended promptly. Daniel in flight 1557, should know better",negative
@USAirways 2102 DCA-BOS. Cancelled Flightled after making us wait over an hour. If I fly USAir every week can you upgrade my status proactively?,negative
"@AmericanAir once again flying AA4285, once again 60+ min delay because of mechanical issues. Perhaps you should consider maintenance?",negative
@SouthwestAir what does relay concerns really mean &amp; how/why do u keep letting people on flights with bags larger than u state are allowabl?,negative
@USAirways gonna miss connecting flight.. Delayed flying out of Boston,negative
@AmericanAir Asked for a waiver of a change fee for flight booked w/in past 24 hrs. Rep was rude. Just told me no. Didn't even try to help!,negative
@united any chance you could help rebook?? My flight Cancelled Flightled,negative
@JetBlue over 2 hour delay going from NYC to Denver! Come on man!,negative
@united a good start would be  to warm the plane before the departure time so the flight isn't delayed due to frozen water lines.,negative
@USAirways please keep Emily at you gso airport ticketing on staff she is amazing,positive
@united searched for mileage tickets to BOM couldn't find a single one is saver awards - I see how you play.  Earn miles but can't use them.,negative
@USAirways still on hold...1 hr 27 mins....thank god for chairman status. status match @Delta?,negative
"@SouthwestAir was on flight 2373 from CHI-BUF last night, almost 2 hour delay cuz someone got on the plane without a pass - sounds safe. 1/2",negative
@AmericanAir been waiting on hold for more than an hour,negative
@USAirways How soon is possible? I boarded the plane the 1st time at 6:30 am and it is now after 11:30 am and I'm still where I started.,negative
@JetBlue @roxydigital HAHA. you didn’t disappoint. Well done. #JVMChat,positive
"@united, we've been waiting for over an hour for our luggage- what gives?",negative
"@united no, we still have not heard anything from anyone at @united or the @ErieAirport",negative
@USAirways Thank you for your help today.  I have been a loyal US airways customer and i appreciate your responding to my tweets.,positive
@JetBlue waited for 15 min then got disconnect,negative
"@JetBlue incidentally, Sheila at JFK deserves a raise because she's awesome.",positive
"@united flight 4567 have already been Cancelled Flightled once, been trying to get home two days. Staff being very unhelpful.",negative
"@united well played, ^LO.",positive
@AmericanAir great customer service thanks,positive
@usairways @usair   idiots took our plane &amp; gave it to someone else. Fudgers!!!! Flight 799 from Philly to Orlando,negative
@AmericanAir just want to thank you guys for the 27 hour delay for flight AA106 from JFK due to staff shortage and not weather✈️,negative
@united 45+ min at EWR baggage claim #stillnobags #ridiculous,negative
"@united @upgrd I guess the Kit Kat looks tasty... not going near that ""sandwich.""",negative
@USAirways hello I have a question for you and your phone lines have jammed,negative
"@USAirways customer service failure aside, one would think you guys would care about inaccurate manifests. I'm sure TSA would.",negative
@AmericanAir my flight I have reserved for tomorrow has been Cancelled Flightled. Can I Cancelled Flight my reservation and get a full refund?,negative
@SouthwestAir Have been on hold to reschedule a flight for 1.5 hours! Please help! Phone will be out of batteries soon.,negative
@USAirways yet again your staff in Philadelphia  failed to send my luggage home with me. #alwayshappensthere #angrytraveler,negative
@SouthwestAir shhhh i don't want something else to steal our deal😉,positive
@AmericanAir thank you for the confirmation.,positive
"@united Cancelled Flights flt from EWR. ""No crew"".Tells wife &amp; 4 yr old to ""get to NY to catch @AirCanada"" to YYZ! Good #customerservice is dead.",negative
@JetBlue we don't need anybody else!,positive
@united Bummer. Might have to go with @AmericanAir card instead. TY for response though.,negative
@SouthwestAir the wait for the bags is longer than the actual flight.,negative
@AmericanAir it's GTSVYB. It says it's Cancelled Flightled when I try to check.,negative
"@united a baby shit its pants half way through my flight and it smelled like shit, what are you going to do about this?",negative
@USAirways This flight was for my brother. He has been rebooked and I was able to give my info over the phone to get him a pass to the Club.,negative
@AmericanAir you have said the same thing to me over and over again but phrased differently. How about some actual help?,negative
@AmericanAir . Death of a dear friend has me heart broken but #AmericanAirlines has me heated!,negative
@USAirways still can't get through and travel in 2 days. #ridiculous #donthavehighhopes,negative
@SouthwestAir my parents flight frm STL2ATL Cancelled Flighted 2nite. When's the next one out?!,negative
@united So they didn't drop my bag overnight &amp; now I'm leaving for a week. This is why you were supposed to hold on to the bag....,negative
"@united broken light, 35 mins to get bridge to gate, airplane parked wrong , bathroom not emptied last night....your airline in last 3 hrs",negative
"@SouthwestAir By the way the flight number was 1703, please feel free to fact check my complaints about leave time &amp; baggage time.",negative
"@USAirways usually ""sorry"" doesn't involve moving people to middle seats and removing them from upgrade lists. Guess that's a club perk.",negative
@united so you're telling me there is no number to call after being left in an airport because of a negligent pilot and staff?,negative
@AmericanAir Thanx for replying. DM sent,positive
@united Why was flight 1180 EWR to MCO Cancelled Flightled for tomorrow and what do I do to rebook. Asking for a relative.,negative
@USAirways they call weather an act of God and refuse to help. I have my wife and 3 kids and they have no sympathy.,negative
@USAirways @AmericanAir According to your costumer support your website is holding my money hostage and you cant do anything about it..,negative
"@AmericanAir Disappointing lack of kindness toward this person. The agent asked her counterparts ""why this person was talking to her"".",negative
@AmericanAir man we have been sitting in #UA4753 on the tarmac for 30 mins...rescue us please!,negative
@USAirways 5 hour cross country morning flight and you have no food? #BadService,negative
@SouthwestAir you guys held our flight #330!  Thank you!!!  About to take off from MDW now to Oakland.  Thanks,positive
@AmericanAir did you guys get rid of the functionality on http://t.co/R1OQAVEO7I to put a reservation on hold for 24 hours? i don't see it,negative
@VirginAmerica SFO-PDX schedule is still MIA.,negative
@JetBlue Ive called you 3 x &amp; waited on hold 10 min each time to be disconnected each time. Enraging! I need to speak to someone! #help,negative
@JetBlue thanks for making my trip home #MintyFresh next #brandmance flight I'll take more selfies! #LOVE #travel #business,positive
@USAirways -- I've been on hold 40 mins to Cancelled Flight my reservation for this afternoon. Is there another way? Web tells me to call.,negative
@JetBlue im still waiting??? No answer!!,negative
@SouthwestAir won't let me send a DM because they don't follow me.. #lovedflyingwiththem #notanymore #wrong #badpolicy,negative
@SouthwestAir Cancelled Flightled flights and asshole phone support. #worstairline,negative
@SouthwestAir will you please tell me if I'll make my flight out of here tomorrow 8am? I've been tryin for 3 days now to leave,negative
@USAirways thanks. 😒,positive
@AmericanAir so I have to call back at 9 since the department is closed. This has to be the biggest bunch of bull!,negative
@AmericanAir thanks!!,positive
.@united board customers onto a plane with no pilot? The only thing that expedited was my time in line to book a new flight. Come on now.,negative
@SouthwestAir love how you hold flight 2851 in PHX for Late Flight passengers and make us all over an hour Late Flight. Great job.,negative
@AmericanAir thank you we got on a different flight to Chicago.,positive
@united you are making me miss big snow in Montana. Not cool.,negative
@southwestair thanks for taking it up a notch!! leinenkugels #craftbeer #goodflight @ Norfolk… http://t.co/TgSLjjN6g0,positive
@USAirways this travel day sucks but Malcome K at gate 39 rocks.  This guy is the brand you want to be. Replicate his approach and style.,negative
"@united really hoping to get some help here.  On my 5th attempt to get a resolution, and lost count of transfers.  help please! #mileageplus",negative
"@USAirways -not just this trip, been a few. Ur saving grace is ur cheaper flights. Now willing to pay more 4 bttr service on bttr airlines.",negative
“@JetBlue: Our fleet's on fleek. http://t.co/yZH4ZRQM0i” really JetBlue? #fleek?!!! 😂😂😂 hell no... Yall petty,negative
@SouthwestAir can you make a premium wifi that I can pay $30 for that is decent? #slow-fi,negative
@united Another terrible experience with United. Discrimination. Delays. And no help from customer service #united #notimpressed,negative
@AmericanAir No I do not have them yet. Called for baggage status 5 times yesterday.,negative
@AmericanAir 1138 got us to LGA safely. Thanks for taking the time to make the plane safe before flying!,positive
"@AmericanAir I have got a flight for
The next day !! What about a credit ! You guys are a multimillion dollar company give us back a Credit",negative
@USAirways why aren't you updating flight status/delays?,negative
"@USAirways Flight Cancelled Flightled due to ""weather conditions"" in arrival city. Uh...I don't think so.",negative
@united @PGATOUR @NTrustOpen I read that last hashtag as Go F United. Makes sense since they F us by Cancelled Flightling ticketed reservations,negative
"@united Found flight after 2.5 hrs. How am I offered a $200 flight voucher 12 hrs before, lose my seat out of neglect, then get nothing?",negative
@united did not let me get on the IAH-HNL direct. Now weather delay for my SFO leg. Stop being reactive and be proactive!,negative
@SouthwestAir - holding us hostage for about an hour with no updates if they are taking us to NY or not. What's going @southwestair,negative
@USAirways @AmericanAir Not providing pilots for your flights: is this a new feature of your merger? #efficencies,negative
@SouthwestAir  Longer flights with 300 series no wifi? Will be great when you retire them.,negative
"@USAirways US 728 pilot started the flight by announcing arrival into Gatwick, not Heathrow. Moments of concern for all aboard.",negative
".@united it will be because I'm moving to @AmericanAir because of @united talk, no service",negative
@USAirways why the hell u left *alliance and joined 1world is beyond me not a smart move time to start looking at other carriers,negative
@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! 😊,positive
@SouthwestAir flt 3867 crew  #OrangeCounty to #Denver is The #BEST! Weather delay but pilots just invited the kids to see the cockpit! #luv,positive
@AmericanAir My ticket was booked with AA with miles..... Sorry we sold you a ticket with a company we merged with but we can't fix it?,negative
@SouthwestAir that's bull. Once you add a fare to the cart you should be locked in. I made it all the way to PayPal.,negative
@AmericanAir Great - thank you.,positive
@united Thank you for responding so promptly! I look forward to the 240 kms drive to the office to file a claim.,positive
@SouthwestAir thank you for the confirmation. Maybe people on my flight have directional dislexia.,positive
@AmericanAir Need to go frm TPA to MCI tmrw &amp; my connection thru DFW is Cancelled Flightled. Can u connect me thru a diff city? Been on hold for 2 hrs,negative
@JetBlue I would like to send an email to Lost and Found at JetBlue JFK; I spoke to them this morning but cannot drive their today.,negative
@JetBlue how long does it take for a bag to get to the baggage belt!!!!!#toolong of a wait,negative
"@JetBlue @martysg you *know* how I love you, JB, but honestly, when you have complex feedback, those pull-down sub-option forms=maddening.",negative
"@AmericanAir 
I still think American Airlines is great...I would just like to be treated better. Loyal customers first, right?",positive
@united and that it would be sent on the next flight to Hayden/steamboat (HDN) from Denver. So I'm hoping its on there,negative
@united we are never going to get to out gate at this rate.,negative
@united cannot direct message you you do not follow us. I want my luggage.  Please hep,negative
@SouthwestAir I wrote to your customer support on Monday re: a Cancelled Flighted flight but haven't heard back. Any idea what's up? Thanks.,negative
@AmericanAir I can't get an operator after an hour's worth of calls to Cancelled Flight a delayed flight. Automated system doesn't go beyond message.,negative
@JetBlue Call was not made by the inflight crew. They in fact asked us why we didn't bring it on.,negative
@united flt 1583 EWR to SFO excellent service. Friendly flight attendants. made the 6AM flight a very good start to the day.,positive
"@united @FlyANA_official pleasantly surprised to find ANA has made major upgrades on their transpacific route in flights, planes and service",positive
@USAirways you're killing me sche a flight to board 3 min after mine arrived with gate on other side of airport #genious,negative
"@JetBlue great trip today!  Thanks to the crew flying us home, they were fantastic! http://t.co/sk6W9XQaQB",positive
@AmericanAir several hrs Late Flight and 140 characters won't do it. Cheers though,negative
"@SouthwestAir @fox8news Serious potential for a wanna get away commercial out of this debacle.  But for real, you should fire @Kristi_Capel",negative
"@AmericanAir I ended up emailing my #Complaint to customer.relations@aa.com, hope that works. #TravelProblems",negative
@USAirways And it's 3:22 with no sign of boarding.... Can I please get another update?,negative
"@united caught earlier flight to ORD. Gate checked bag, and you've lost it at O'Hare. original flight lands in 20minutes. #frustrating!",negative
@USAirways Just to follow up here is my experience: http://t.co/WJIiGZtiwg,negative
@SouthwestAir I gave you one more try. Figured you could get a 1 hr flight right. Nope. Delayed an hr. Seems to be every time.,negative
@SouthwestAir Twitter cust svc rule 1 Dont say IF we fell short. I just told u u did! #2 If u cant solve problem don't say anything at all!,negative
@southwestair#SWADiversity We are ready to be inspired! http://t.co/S3EsW5AgUm,positive
@USAirways rudest crew member experience! Throwing shade and calling out customers. #reachingnewlows,negative
@united averaging 200 minute wait times tonight or what? I've gotten no help from you tonight.,negative
@USAirways big problem!!! Fll to clt then got off on clt but my fly to gso is Cancelled Flightled had to rent a car to get to my pops funeral,negative
@AmericanAir Kudos to the crew of Flt 167 today. Specially to Carlton. Loved your new 767-300. Keep up the good work AA!,positive
@USAirways if you get my bag from E Gate to B Gate at the Charlotte airport before my 6 pm flight (Late Flight cause of yall) I’ll ride US for life,negative
"@united That made me so mad, but then I called the bag number, and that person was helpful and told me where the bag really was. (2/2)",positive
@VirginAmerica I'm pulling my hair out trying to book a flight with u. Your site doesn't work on iPhone or iPad.don't have a computer #help,negative
talked to a @JetBlue manager and she offered we pay 3X's in cash what we originally paid #nothanks #jetblue #ripoff #flyunited,negative
@USAirways I miss you too. Work has taken me out of Philly. I’ve been on flight 1776 from BOS —&gt; PHL so many times I should have a res. seat,positive
@united I have no way to contact her while she is in flight. This does not work for me. Her father is about to pass and is heading to Denver,negative
@united still waiting to hear back. My wallet was stolen from one of your planes so would appreciate a resolution here,negative
"@AmericanAir @USAirways cost me a day of vacation ($350 hotel stay), day of dog boarding, and a day of airport parking.",negative
"@united Thanks for nothing. Next time I'll bring a whole extra suitcase for my 1 extra pound. That makes sense, right?",negative
@USAirways I hope flight 1855 is not being delayed because flight attendant didn't come to work! #nobackup,negative
@JetBlue And we are glad to see what is going on and fix! @ProfessorpaUL15: please DM me your confirmation # so we can check.,positive
@united 4 passengers after a 2 hour delayed flight left with no hotel at the end of the night @ hou airport. Wtf??!! http://t.co/ZfqMpGXVS6,negative
@JetBlue I may need to. I had a 40 minute layover and now have a 15 min delay on my first flight.,negative
@VirginAmerica your inflight team makes the experience #amazing!,positive
@USAirways Best GAgent in a long time - Danny B. for US628 DFW-CLT. Appreciated how up to date he kept us during irrops. Super professional!,positive
@SouthwestAir why can't you take me to Knoxville?? yall are my fav #help,negative
"@USAirways 4+ hour hold, finally Cancelled Flighted ticket! sticking to @delta @Expedia who allow easy online Cancelled Flights/refunds! http://t.co/RKVCZBpdCE",negative
"@united there was 20 min to departure, no one waiting. On being pressed ground staffer threatened ""do you want to get to SF today"" #fail",negative
@SouthwestAir I need to reschedule a flight and I've been on hold for almost an hour. This is ridiculous. Is there a best number to call?,negative
@JetBlue thanks!,positive
@USAirways HORRIBLE communication on delayed flight out of LGA!!!! I got 2 emails in seconds w different delay times!!!! HORRIBLE,negative
@JetBlue I'd fly to an airline who actually gave a crap about its fliers outside of generic apologies. Jet Blue is terrible #jetblue,negative
"@united funny, both my flights yesterday were delayed because of mechanical issues. Rotten luck to get 2 planes in a row with ""issues""...",negative
@united kind of cool to run into your boss man at SFO. http://t.co/bm9O2K5X5J,positive
@united do you expect to Cancelled Flight flights out of @DENAirport tomorrow morning given the storm?,negative
@united How can you not know where my bags are?  You knew where they were 6 hours ago. You are killing me!  Worst service. Ever.,negative
"@united again HORRIBLE service, again attitude when asked for information, again you make me not want to fly UNITED ever. #platinummember",negative
@united and was told that its been the case for weeks but is still not resolved.,negative
@usairways  Thank you for allowing me to spend more money on vacation by buying things I already bought.,negative
@USAirways your saving grace was our flight attendant Dallas who was amazing. wish he would transfer to Delta where I would see him again,negative
@AmericanAir we made it so no worries... You guys did good tonight and even put @ESPN_CoachMack on my flight #firstclass,positive
@united stellar customer service. You have earned my business by your attention to detail.,positive
@united ...she said she would need to get a supervisor. While waiting for the supervisor she hung up on me.,negative
@USAirways How many agents do you have working to handle the thousands of calls?,negative
@united switched to fly united from delta for the past two trips and was very disappointed. Now my UA4646 on 2/23 is delayed by 3 hours!!,negative
"@united you've been officially displaced by @DeltaAssist for better flight experience, pleasant cabin crew and timeliness. UA 1m switching!",negative
@AmericanAir you're not finding it bc @united  rebooked us on your airline when they realized they couldn't get us home - and we're at ORD,negative
@AmericanAir Understood. Thanks anyway,positive
"@AmericanAir one of my luggage didn't made it onto my flight, hope it really gets here tomorrow, as I was told 😓😭",negative
@USAirways must be nice to take your customer service phone off the hook! #fendforyourself,negative
@united too long for 140 characters,negative
